发布小时,样本数,旧版MAE_kW,新版MAE_kW,MAE改善率_percent,旧版RMSE_kW,新版RMSE_kW,旧版WAPE_percent,新版WAPE_percent,旧版Bias_kW,新版Bias_kW,新版绝对误差更小比例_percent,两版绝对误差相同比例_percent
0,36072.0,354.9363236517706,257.3300757180084,27.499650339964653,606.1605001678041,437.6463721140943,11.220231156113897,8.134706820846802,-77.09967647205586,-42.775369219893506,41.42271013528499,31.304058549567532
6,36072.0,257.3138560138981,155.5345762627523,39.5545274272554,437.70229785035417,266.08593404502966,8.134304336637584,4.916818696785843,-42.749859025005506,-13.411839480760662,45.215125304945666,30.954757152361946
12,24048.0,135.32207786233087,72.27742268587824,46.58859527755016,251.33153576441353,132.2651302792904,5.689674710813609,3.038935187183534,-10.36791410512306,1.7109362940785495,36.51447105788423,45.63373253493014
18,12024.0,10.009268658516302,10.009966437957418,-0.006971332920742501,41.22700634641433,41.22769692637328,39.50977498216573,39.51252934011597,9.929122513306721,9.929809189953426,0.6570192947438457,98.14537591483699
