组合,单时刻费用均值_元,联合方案费用_元,联合相对单方案均值节省_元,加法冗余_元,解释
6:00+12:00,12462822.80214047,12253604.150943713,209218.65119675733,145569.61907306314,边际收益重叠（替代）
6:00+18:00,12514328.148309242,12320333.905097319,193994.24321192317,109288.68088912964,边际收益重叠（替代）
12:00+18:00,12367727.357302727,12203453.320305254,164274.03699747287,285609.6781100929,边际收益重叠（替代）
