模型,对象,月份,MAE,RMSE,WAPE_percent,Bias,R2,Daily_energy_MAPE_percent,Daily_energy_MAE,Daily_peak_MAE,Daylight_MAE,Daylight_WAPE_percent,Overforecast_rate_percent
Baseline,负载,2,130.49527512400792,165.13898546484367,2.889048411705505,51.924283134920636,0.9864514433165291,1.24876583003417,1302.5363761904773,124.27427321428559,,,
Baseline,负载,3,125.88341420250896,162.78310597622357,2.8901444625191073,30.702161223118278,0.9860264166921944,1.034077635733118,1009.5424973118244,147.1748419354837,,,
Baseline,负载,4,107.62608615740741,135.0179535378227,2.44998614409365,2.6757808101851843,0.9902734098184086,0.3460526290345368,348.2105016666683,81.81744166666658,,,
Baseline,负载,5,141.69715864695343,186.9787293008631,3.2191952389911163,-24.990366084229397,0.9808390490615142,0.9834304681909392,1013.7250817204289,64.8513790322581,,,
Baseline,负载,6,190.9160374537037,267.7740029063342,3.9771723377490567,-59.437426689814814,0.9596662160193293,2.2014545448951472,2409.735181666665,218.99933999999988,,,
Baseline,负载,7,267.6942847222222,364.26962217752407,5.0154437689692415,-111.7140345206093,0.9248638219518571,3.3447901270708016,4139.2676736559115,231.7047145161291,,,
Baseline,负载,8,159.30589159946237,200.39681607677363,3.157595380055924,37.51180504032258,0.9774780173090895,0.8447046750742407,979.9400403225732,154.5820193548387,,,
Baseline,负载,9,224.84568585648145,330.8516931206572,4.956974981759656,129.80377777777775,0.9393830498988285,3.258558754195958,3342.4646288888885,188.9608900000002,,,
Baseline,负载,10,121.2263164874552,165.2631597382036,2.7886558818426352,30.70321357526882,0.9855015593922561,0.9880510313455209,974.8442967741923,57.22660806451623,,,
Baseline,负载,11,108.39791576388889,135.33095432341773,2.499060106898248,-2.493155462962957,0.9903585055358178,0.35071576765691104,360.79579333333385,89.0200516666667,,,
Baseline,负载,12,163.78254036738352,224.7878872391645,3.4912275557296963,-56.4213730734767,0.9753880403685794,1.8384434082789651,2006.0483182795672,189.26566290322586,,,
Baseline,光伏,2,115.22625767786282,228.05628719710276,5.859517379568629,-65.61514957837302,0.9926182268934229,3.93782768066392,1901.72483579932,394.5924063775509,239.81594683973745,5.858675715234312,25.348477026329373
Baseline,光伏,3,159.54895783410137,306.6787857071864,6.924276646556786,-47.80624735343062,0.989050367044959,4.8763759265414715,2658.191604531492,565.451829262673,306.436898251168,6.923646384326442,29.388984509466436
Baseline,光伏,4,169.9585826951058,326.19345398868137,6.290834769063604,-37.14380276785714,0.9897997352647255,3.5516635871756317,2295.599388650795,595.2850461904764,302.87344309582744,6.290371846008787,35.06600660066007
Baseline,光伏,5,176.6891607078853,324.7896968426409,6.295706746057866,4.009129768305169,0.9897116016351968,3.1691491778876464,2119.3622268817226,500.9851239631335,298.6345621301455,6.295356963338026,43.771298750473306
Baseline,光伏,6,204.12628121031744,394.16292547849014,8.613553590762328,55.48392708002647,0.9780551874956481,5.894590255296701,3328.3858264285714,560.2767495238096,329.89806345198014,8.613492262026735,54.994388327721666
Baseline,光伏,7,178.05758214605737,334.8962709372406,6.538411920644369,-30.163406803635453,0.9882833474374871,3.665702515969073,2401.1272791090623,552.0645569124421,297.09974649132175,6.5375498893324195,49.7196261682243
Baseline,光伏,8,186.9547440732207,350.3629022089997,6.411357575666504,-20.584855459549413,0.9895430266767561,4.007334077338283,2800.4314622119805,529.9697193548387,325.5284221977593,6.409556911421014,52.67264923917284
Baseline,光伏,9,152.54841360449737,290.17651456853963,5.850147357688272,53.09255987433862,0.9920250801401574,3.2998306601795995,2017.277674761905,385.2225099999997,284.6348810038276,5.846933851818802,67.97752808988764
Baseline,光伏,10,142.82602559843832,290.82925844761,6.040910085554513,36.198076558499736,0.9914273187874039,4.395199257006461,2513.2505264976944,447.6624684331799,287.26360123019447,6.036906611663822,67.31289449954915
Baseline,光伏,11,100.63641240079367,204.30936464545144,5.426968111525828,60.99533228505291,0.9937788827025774,3.6165689822825966,1566.2202272222228,310.08123880952365,218.82048387642067,5.424848670190728,74.32024169184291
Baseline,光伏,12,74.09569452764977,158.8076129753682,4.894562599801667,19.292375323220696,0.9946291580355101,2.41754476206102,877.6964183563744,234.07321036866358,165.109034155909,4.893847489138936,59.36095856215676
XGBoost,负载,2,95.28546437251983,122.16995911066529,2.1095347647066216,0.4495090151832113,0.9925848034797665,0.6802652284536422,649.0807156156994,106.92006535993308,,,
XGBoost,负载,3,93.69095438919341,120.27965393195181,2.1510410623313128,-3.053032257626985,0.9923708972042423,0.7310229372638066,663.2007686575934,154.96167849672366,,,
