模型,对象,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent
Baseline,负载,176.79572117223884,244.28661499529923,3.8294191983897163,1.9494697043413223,,
Baseline,光伏,153.39970672494297,303.85773925555964,6.448472089753418,2.769202212539207,294.160369541435,6.446104356020983
XGBoost,负载,127.96785999100432,172.50202913838953,2.771801130577065,-1.2237768918543108,,
XGBoost,光伏,156.2263529444894,313.01155949000776,6.5672959756884515,6.351170921237828,293.7540532528609,6.437200514889077
LightGBM,负载,128.20853060367108,172.81725979217833,2.7770140885520855,-0.6414730667847247,,
LightGBM,光伏,155.43797102521586,310.58390246777213,6.534154720655823,8.719892484668572,292.1758724047033,6.402616935681054
SARIMA,负载,420.0603310559244,564.1782516424407,9.0985635034706,107.19904412232114,,
SARIMA,光伏,157.21597537943984,311.37358139897435,6.608896789584493,15.443179362670039,301.4819007927124,6.6065452562183005
