模型,月份,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent,R2,Daily_energy_MAPE_percent,Daily_energy_MAE,Daily_peak_MAE,Overforecast_rate_percent
Baseline,2,77.38514766865082,151.41222579317926,4.35580410237065,-54.786705605158744,171.4372341758242,4.355798097117573,0.9962362504755669,3.0560746247561776,7889.285607142854,441.34495714285686,23.076923076923077
XGBoost,2,115.87830727397603,239.41120008300715,6.522481657087099,-62.90303383659256,115.87830727397603,6.522481657087099,0.9905900405177981,4.085385115402726,10599.853455921955,704.4891375000002,70.83333333333334
LightGBM,2,98.43265985127661,195.4657093136892,5.540512572558363,-39.046850983880944,98.43265985127661,5.540512572558363,0.9937275098809087,3.4648296710372493,8955.416570724687,575.4615087185794,72.91666666666666
SARIMA,2,108.11029364396394,205.13444259413754,6.0852408343163376,-8.358881791612008,239.50529661398372,6.085240002010518,0.993091623511277,5.874544390311719,15044.755250710732,303.0348759482458,46.92307692307692
日总量+归一化曲线,2,107.1107194272523,205.79929400659307,6.02897746072404,-96.71128576388891,237.29087362211806,6.028976964983863,0.9930467701267813,5.415355909436492,13926.425149999995,594.4509802697726,13.076923076923078
晴空包络短期外推,2,72.14753838523195,153.6522136592694,4.060993008890336,9.674551156811894,159.82547657651386,4.060771920928836,0.9961240651434378,2.0379581357342462,5189.019230851831,397.5877511698882,52.307692307692314
自适应加权Baseline,2,77.38514766865082,151.41222579317926,4.35580410237065,-54.786705605158744,171.4372341758242,4.355798097117573,0.9962362504755669,3.0560746247561776,7889.285607142854,441.34495714285686,23.076923076923077
