模型,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent,R2,Daily_energy_MAPE_percent,Daily_energy_MAE,Daily_peak_MAE,Overforecast_rate_percent
自适应加权Baseline,152.19362078991756,303.62986493583276,6.397771787543577,1.5401188264341887,291.8638391029491,6.395779171543088,0.9897335681190581,3.749992918291709,2150.3955942689054,468.0578359081405,50.634173580089346
Baseline,153.39970672494297,303.85773925555964,6.448472089753418,2.769202212539207,294.160369541435,6.446104356020983,0.9897181524150546,3.8910456791243964,2227.379143591389,471.2473745508981,50.79371410338226
LightGBM,155.43797102521586,310.58390246777213,6.534154720655823,8.719892484668572,292.1758724047033,6.402616935681054,0.9892579185208656,3.718921002515262,2134.9749854443976,517.2690823565401,54.92980216975112
XGBoost,156.2263529444894,313.01155949000776,6.5672959756884515,6.351170921237828,293.7540532528609,6.437200514889077,0.9890893327822238,3.7558938016819843,2160.4127441933065,528.0541536653255,54.71043395022336
SARIMA,157.21597537943984,311.37358139897435,6.608896789584493,15.443179362670039,301.4819007927124,6.6065452562183005,0.9892032242538937,4.265411686966858,2395.4375945446477,475.0146059422779,53.86088066368858
日总量+归一化曲线,157.65972732198367,311.72758821692565,6.6275508149236595,-15.203099596640007,302.3455484691584,6.625470861519533,0.9891786601599336,4.20346068303559,2403.6998034181643,506.02099621601116,48.145341416719845
晴空包络短期外推,161.04759068812936,327.44183465782913,6.769966617580056,3.033188116919897,308.8616233525985,6.768261335830471,0.9880601495514025,4.067894885363975,2353.1253031516285,483.86164850628165,50.889438417358015
