模型,对象,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent
Baseline,负载,212.94102777777778,251.5875322155898,5.161915296092758,187.623625,,
Baseline,光伏,77.38514766865082,151.41222579317926,4.35580410237065,-54.786705605158744,171.4372341758242,4.355798097117573
XGBoost,负载,545.7173354085286,604.6141120774577,13.228764275186983,303.87438331976995,,
XGBoost,光伏,798.1823499986436,959.580737785725,44.92756115748009,-77.12246011420356,1044.2620082534554,26.5321269927721
LightGBM,负载,546.0347904067144,602.916724707022,13.236459719451798,303.9297446756687,,
LightGBM,光伏,795.3431445163592,954.6249308837591,44.76774983373409,-74.00319129417007,1038.5352391924905,26.38662388839514
SARIMA,负载,441.47227547955873,578.0696816598463,10.701753980341344,379.8749466741191,,
SARIMA,光伏,92.93596052039308,189.19737916601684,5.231117989537367,-55.752967057050384,205.8884827149549,5.2311195146117875
