日期,发布时间,选择方法,选择依据历史天数,选择前历史MAE_A_kW,选择前历史MAE_B_kW,选择前历史MAE_C_kW
2025-02-01,0,B_历史形状,24,136.70172085262348,134.0992364679784,136.70172085262348
2025-02-01,6,B_历史形状,24,115.89009378215019,109.48730766460905,115.89009378215019
2025-02-01,12,B_历史形状,24,48.47896666666666,44.557065427276235,64.77265860026108
2025-02-01,18,B_历史形状,24,0.0038179398148148152,0.0036785879629629634,0.0038179398148148152
2025-02-02,0,B_历史形状,25,136.47267664351853,133.90716287731482,136.47267664351853
2025-02-02,6,B_历史形状,25,117.7543585493827,111.92700667901235,117.7543585493827
2025-02-02,12,B_历史形状,25,48.37333669444443,44.482045166666666,66.18954794266803
2025-02-02,18,B_历史形状,25,0.004020555555555556,0.0038138888888888892,0.004020555555555556
2025-02-03,0,B_历史形状,26,135.88846230858263,132.91030788595089,135.88846230858263
2025-02-03,6,B_历史形状,26,116.60928434235517,110.75509102564102,116.60928434235517
2025-02-03,12,B_历史形状,26,49.2242893696581,44.966553743767804,66.94431290402265
2025-02-03,18,B_历史形状,26,0.00416121794871795,0.003873023504273505,0.00416121794871795
2025-02-04,0,B_历史形状,27,136.62562083762006,133.2096708161866,136.62562083762006
2025-02-04,6,B_历史形状,27,115.63402061042524,109.63853194158665,115.63402061042524
2025-02-04,12,B_历史形状,27,49.199625900205746,45.19496637088477,66.21506421468972
2025-02-04,18,B_历史形状,27,0.004217901234567902,0.0038340020576131694,0.004217901234567902
2025-02-05,0,B_历史形状,28,137.69669839616404,134.075095333168,137.69669839616404
2025-02-05,6,B_历史形状,28,115.3652353505291,108.85272228284832,115.3652353505291
2025-02-05,12,B_历史形状,28,49.49799599867724,45.619054439484124,66.79198200590137
2025-02-05,18,B_历史形状,28,0.004155853174603175,0.003725992063492064,0.004155853174603175
2025-02-06,0,B_历史形状,28,131.09744429150132,127.73806695395176,131.09744429150132
2025-02-06,6,B_历史形状,28,117.04252153880073,109.66942084711198,117.04252153880073
2025-02-06,12,B_历史形状,28,50.76622237929894,46.533207754629636,67.95140662442152
2025-02-06,18,B_历史形状,28,0.004186210317460317,0.003785367063492064,0.004186210317460317
2025-02-07,0,B_历史形状,28,137.31714934275794,133.28122772404103,137.31714934275794
2025-02-07,6,B_历史形状,28,119.69738913690476,111.62213492614639,119.69738913690476
2025-02-07,12,B_历史形状,28,50.90705435681217,46.59854385333994,69.05366025506657
2025-02-07,18,B_历史形状,28,0.00418343253968254,0.00388968253968254,0.00418343253968254
2025-02-08,0,B_历史形状,28,137.49725870535715,133.3574539661872,137.49725870535715
2025-02-08,6,B_历史形状,28,123.49505331790122,114.30582981150793,123.49505331790122
2025-02-08,12,B_历史形状,28,50.89977161044972,45.91029080274471,69.09345234900816
2025-02-08,18,B_历史形状,28,0.004225198412698413,0.00399389880952381,0.004225198412698413
2025-02-09,0,B_历史形状,28,139.89184741236775,135.88490215153772,139.89184741236775
2025-02-09,6,B_历史形状,28,122.59175370370369,113.11644732142858,122.59175370370369
2025-02-09,12,B_历史形状,28,51.34849595734126,45.57790508845899,69.72237735071255
2025-02-09,18,B_历史形状,28,0.004299007936507936,0.004095585317460318,0.004299007936507936
2025-02-10,0,B_历史形状,28,141.2162885499339,137.11799346684856,141.2162885499339
2025-02-10,6,B_历史形状,28,122.22658601190473,112.36278505291004,122.22658601190473
2025-02-10,12,B_历史形状,28,53.12722904265871,47.01082037037037,67.35808198996362
2025-02-10,18,B_历史形状,28,0.004415178571428571,0.004195982142857143,0.004415178571428571
2025-02-11,0,B_历史形状,28,140.87084195601855,136.41064389260916,140.87084195601855
2025-02-11,6,B_历史形状,28,120.86668510802467,111.7819453648589,120.86668510802467
2025-02-11,12,B_历史形状,28,53.55524699900791,47.131781588955015,65.71946424060874
2025-02-11,18,B_历史形状,28,0.004568749999999999,0.004336656746031746,0.004568749999999999
2025-02-12,0,B_历史形状,28,146.04061149966932,141.64849783812832,146.04061149966932
2025-02-12,6,B_历史形状,28,121.56574895282185,112.88053070160933,121.56574895282185
2025-02-12,12,B_历史形状,28,53.13515414186507,46.921518783068784,65.44694811876522
2025-02-12,18,B_历史形状,28,0.004747222222222222,0.004506299603174603,0.004747222222222222
2025-02-13,0,B_历史形状,28,145.10904181134262,140.18672060391864,145.10904181134262
2025-02-13,6,B_历史形状,28,121.69056462742503,113.16143343253967,121.69056462742503
2025-02-13,12,B_历史形状,28,53.85689335317459,47.46723679315476,65.65787189309783
2025-02-13,18,B_历史形状,28,0.004949107142857142,0.004708184523809525,0.004949107142857142
2025-02-14,0,B_历史形状,28,145.88361376488098,140.21450420180224,145.88361376488098
2025-02-14,6,B_历史形状,28,123.21581625881834,114.630337078373,123.21581625881834
2025-02-14,12,B_历史形状,28,54.04540464616401,47.28143118386243,66.50251978061685
2025-02-14,18,B_历史形状,28,0.005222222222222223,0.004981299603174603,0.005222222222222223
2025-02-15,0,B_历史形状,28,149.8850693369709,143.78653655960647,149.8850693369709
2025-02-15,6,B_历史形状,28,123.19887006172839,113.95685949900792,123.19887006172839
2025-02-15,12,B_历史形状,28,55.255978406084644,47.927964021164016,67.44423573579637
2025-02-15,18,B_历史形状,28,0.0054699404761904755,0.005229017857142857,0.0054699404761904755
2025-02-16,0,B_历史形状,28,151.09203153521827,144.84764857184194,151.09203153521827
2025-02-16,6,B_历史形状,28,121.46786868386242,112.65964523258377,121.46786868386242
2025-02-16,12,B_历史形状,28,55.1751880704365,47.880295490244706,65.20132029590587
2025-02-16,18,B_历史形状,28,0.00575,0.00550907738095238,0.00575
2025-02-17,0,B_历史形状,28,152.90524713128306,145.82208295097556,152.90524713128306
2025-02-17,6,B_历史形状,28,122.91342528108464,113.77296739142415,122.91342528108464
2025-02-17,12,B_历史形状,28,56.844320659722214,49.56809350611771,66.98197041435903
2025-02-17,18,B_历史形状,28,0.0060428571428571415,0.0058019345238095234,0.0060428571428571415
2025-02-18,0,B_历史形状,28,161.3049650462963,153.25520403025794,161.3049650462963
2025-02-18,6,B_历史形状,28,123.1708201664462,113.11183758818343,123.1708201664462
2025-02-18,12,B_历史形状,28,58.14781300429894,51.02019267113095,68.60090615672271
2025-02-18,18,B_历史形状,28,0.006392757936507935,0.006151835317460316,0.006392757936507935
2025-02-19,0,B_历史形状,28,163.32823811177246,155.70745543774802,163.32823811177246
2025-02-19,6,B_历史形状,28,124.24083261684302,114.06218169642857,124.24083261684302
2025-02-19,12,B_历史形状,28,58.796176860119054,51.25498735945767,71.12350200767756
2025-02-19,18,B_历史形状,28,0.006789583333333332,0.0065486607142857135,0.006789583333333332
2025-02-20,0,B_历史形状,28,163.70430294312172,156.2455404141865,163.70430294312172
2025-02-20,6,B_历史形状,28,125.01576708553792,115.13738320105823,125.01576708553792
2025-02-20,12,B_历史形状,28,59.21617633101852,51.472278563161375,73.20270441901815
2025-02-20,18,B_历史形状,28,0.007196130952380952,0.006955208333333332,0.007196130952380952
2025-02-21,0,B_历史形状,28,164.00408268435845,155.60166004670967,164.00408268435845
2025-02-21,6,B_历史形状,28,126.04824058090828,115.46984042658731,126.04824058090828
2025-02-21,12,B_历史形状,28,60.13976235945768,51.830108792162704,73.17713166364824
2025-02-21,18,B_历史形状,28,0.0074095238095238086,0.00716374007936508,0.0074095238095238086
2025-02-22,0,B_历史形状,28,167.55312569031085,158.62098741939488,167.55312569031085
2025-02-22,6,B_历史形状,28,128.7684991291887,117.03938530643741,128.7684991291887
2025-02-22,12,B_历史形状,28,60.559780439814816,51.69036352926588,74.2676786908702
2025-02-22,18,B_历史形状,28,0.007461210317460317,0.007184523809523809,0.007461210317460317
2025-02-23,0,B_历史形状,28,167.51823261408728,158.14272611813823,167.51823261408728
2025-02-23,6,B_历史形状,28,126.47362851631394,114.79506044973543,126.47362851631394
2025-02-23,12,B_历史形状,28,61.055243592923276,52.284939587466944,72.39888012424322
2025-02-23,18,B_历史形状,28,0.007376190476190475,0.007037549603174603,0.007376190476190475
2025-02-24,0,B_历史形状,28,164.6023832919973,155.25752429108795,164.6023832919973
2025-02-24,6,B_历史形状,28,129.46339050925928,117.59273955302028,129.46339050925928
2025-02-24,12,B_历史形状,28,62.64960149636243,53.65920433201059,73.91967392035565
2025-02-24,18,B_历史形状,28,0.0071534722222222225,0.0068989583333333325,0.0071534722222222225
2025-02-25,0,B_历史形状,28,165.75662641369044,156.33735048569778,165.75662641369044
2025-02-25,6,B_历史形状,28,132.99457080026457,120.43495608741182,132.99457080026457
2025-02-25,12,B_历史形状,28,63.427559499007934,53.89616306216932,77.27028627789221
2025-02-25,18,B_历史形状,28,0.007368948412698413,0.007125744047619048,0.007368948412698413
2025-02-26,0,B_历史形状,28,171.9071746982474,162.2348799231151,171.9071746982474
2025-02-26,6,B_历史形状,28,139.5460628692681,126.61289767691801,139.5460628692681
2025-02-26,12,B_历史形状,28,63.49210280257936,54.05876436011905,77.69859852345802
2025-02-26,18,B_历史形状,28,0.007859623015873016,0.007629315476190475,0.007859623015873016
2025-02-27,0,B_历史形状,28,172.17680167410717,162.41854142485118,172.17680167410717
2025-02-27,6,B_历史形状,28,137.27532653218697,124.56462300760585,137.27532653218697
2025-02-27,12,B_历史形状,28,63.063946370701046,52.60251015211641,73.49639328574061
2025-02-27,18,B_历史形状,28,0.008963492063492064,0.008754315476190476,0.008963492063492064
2025-02-28,0,B_历史形状,28,170.32196173528442,160.30960694651122,170.32196173528442
2025-02-28,6,B_历史形状,28,136.00835132275137,123.1843834490741,136.00835132275137
2025-02-28,12,B_历史形状,28,61.48593633432539,50.955625421627,72.48931913283998
2025-02-28,18,B_历史形状,28,0.01010109126984127,0.009932242063492063,0.01010109126984127
2025-03-01,0,B_历史形状,28,170.0017338169643,159.7437189876819,170.0017338169643
2025-03-01,6,B_历史形状,28,137.6080185846561,124.53199284336425,137.6080185846561
2025-03-01,12,B_历史形状,28,61.585822164351846,51.21172779431219,75.04803710043579
2025-03-01,18,B_历史形状,28,0.012000992063492064,0.011889682539682537,0.012000992063492064
2025-03-02,0,B_历史形状,28,174.74971459986773,163.8203818059689,174.74971459986773
2025-03-02,6,B_历史形状,28,138.7837921957672,125.32455163139333,138.7837921957672
2025-03-02,12,B_历史形状,28,61.931092567791,50.916349636243396,76.42207354597622
2025-03-02,18,B_历史形状,28,0.014039682539682541,0.01399345238095238,0.014039682539682541
2025-03-03,0,B_历史形状,28,175.1948344246032,164.41277982184192,175.1948344246032
2025-03-03,6,B_历史形状,28,139.66940373126104,125.77938027447092,139.66940373126104
2025-03-03,12,B_历史形状,28,61.753756018518516,51.415566294642865,76.28570689741444
2025-03-03,18,A_线性插值,28,0.01641746031746032,0.016454315476190477,0.01641746031746032
2025-03-04,0,B_历史形状,28,178.0548820560516,166.8269455625827,178.0548820560516
2025-03-04,6,B_历史形状,28,141.39164937169315,128.10412726245593,141.39164937169315
2025-03-04,12,B_历史形状,28,61.470318022486765,50.892964074900796,76.89017123818932
2025-03-04,18,A_线性插值,28,0.01959831349206349,0.019737748015873018,0.01959831349206349
2025-03-05,0,B_历史形状,28,177.4126748305225,166.7705675760582,177.4126748305225
2025-03-05,6,B_历史形状,28,142.50966081900356,129.70791620370375,142.50966081900356
2025-03-05,12,B_历史形状,28,62.14414893353173,51.61391480654763,77.1545400990083
2025-03-05,18,A_线性插值,28,0.023012301587301588,0.02321140873015873,0.023012301587301588
2025-03-06,0,B_历史形状,28,180.70664145171958,169.2088341807209,180.70664145171958
2025-03-06,6,B_历史形状,28,142.92402077270725,130.39842049437834,142.92402077270725
2025-03-06,12,B_历史形状,28,63.57993735119047,53.504003203538375,79.50151704276664
2025-03-06,18,A_线性插值,28,0.027293849206349204,0.02747485119047619,0.027293849206349204
2025-03-07,0,B_历史形状,28,175.54947206101187,164.34944654017858,175.54947206101187
2025-03-07,6,B_历史形状,28,141.51831195987657,129.47755814043214,141.51831195987657
2025-03-07,12,B_历史形状,28,63.35768899636243,52.74190338955028,78.90190052049051
2025-03-07,18,A_线性插值,28,0.03204007936507937,0.03211329365079365,0.03204007936507937
2025-03-08,0,B_历史形状,28,175.25653277943118,164.12416084242727,175.25653277943118
2025-03-08,6,B_历史形状,28,137.7321738425926,126.30591464120373,137.7321738425926
2025-03-08,12,B_历史形状,28,63.68959322916667,53.55927878637568,79.97398376801007
2025-03-08,18,A_线性插值,28,0.03643402777777778,0.03644181547619048,0.03643402777777778
2025-03-09,0,B_历史形状,28,174.18331584821425,162.55089934895832,174.18331584821425
2025-03-09,6,B_历史形状,28,138.49372881944447,127.2906542796517,138.49372881944447
2025-03-09,12,B_历史形状,28,63.58921728670635,53.52291137979499,79.7442030334133
2025-03-09,18,B_历史形状,28,0.04050069444444444,0.04047251984126984,0.04050069444444444
2025-03-10,0,B_历史形状,28,179.60033195684522,167.5729571903935,179.60033195684522
